genre,recommendations
(no genres listed),"['Green Room (2015)', 'Hyena Road', 'Marco Polo: One Hundred Eyes (2015)', 'The Lovers and the Despot', 'Survive and Advance (2013)']"
Action,"['The Legend of Tarzan (2016)', 'The Purge: Election Year (2016)', 'Kingsglaive: Final Fantasy XV (2016)', 'Sharknado 4: The 4th Awakens (2016)', 'Shin Godzilla (2016)']"
Adventure,"['Goosebumps (2015)', 'Peanuts Movie, The (2015)', 'Ice Age: The Great Egg-Scapade (2016)', 'Finding Dory (2016)', 'Mohenjo Daro (2016)']"
Animation,"['The Secret Life of Pets (2016)', 'Anomalisa (2015)', 'Hotel Transylvania 2 (2015)', 'World of Tomorrow (2015)', 'Piper (2016)']"
Children,"['Elsa & Fred (2014)', 'Cinderella (2015)', 'Dreamcatcher (2015)', '16 Wishes (2010)', 'Sisters (2015)']"
Comedy,"[""Mother's Day (2016)"", 'Daniel Tosh: Completely Serious (2007)', 'Popstar: Never Stop Never Stopping (2016)', 'Mike & Dave Need Wedding Dates (2016)', 'The Gay Desperado (1936)']"
Crime,"['Cop Car (2015)', 'Legend (2015)', 'Female on the Beach (1955)', 'The Nice Guys (2016)', 'Hell or High Water (2016)']"
Documentary,"['Life Is Sacred (2014)', 'My Friend Rockefeller (2015)', 'Author: The JT LeRoy Story (2016)', 'The Beatles: Eight Days a Week - The Touring Years (2016)', ""Women of '69, Unboxed""]"
Drama,"['Tallulah (2016)', 'Nerve (2016)', 'Body (2015)', 'The Last Brickmaker in America (2001)', 'Stranger Things']"
Fantasy,"['Troll Hunter, The (Trolljegeren) (2010)', 'Insidious (2010)', ""Eaux d'artifice (1953)"", 'Inauguration of the Pleasure Dome (1954)', 'Solace (2015)']"
Film-Noir,"['Kiss Before Dying, A (1956)', 'Sudden Fear (1952)', 'Pickup on South Street (1953)', 'Night and the City (1950)', '13 Tzameti (2005)']"
Horror,"['The Boy (2016)', ""Michael Jackson's Thriller (1983)"", 'Demons (1971)', 'The Video Dead (1987)', 'The Conjuring 2 (2016)']"
Musical,"['Double Trouble (1967)', 'Easter Parade (1948)', 'Carousel (1956)', '""Great Performances"" Cats (1998)', 'High School Musical 3: Senior Year (2008)']"
Mystery,"['Super 8 (2011)', 'Raven, The (2012)', 'Enemy (2013)', 'The Boy Next Door (2015)', 'Narcopolis (2014)']"
Romance,"[""Paris, I Love You (Paris, je t'aime) (2006)"", 'Adjustment Bureau, The (2011)', 'Upstream Color (2013)', 'Bajirao Mastani (2015)', 'Rustom (2016)']"
Sci-Fi,"['Sharknado (2013)', 'Interstellar (2014)', 'Dawn of the Planet of the Apes (2014)', 'Project Almanac (2015)', 'Sunspring (2016)']"
Thriller,"['Spotlight (2015)', 'Standoff (2016)', '10 Cloverfield Lane (2016)', 'Hush (2016)', ""The Maid's Room (2014)""]"
War,"['Pork Chop Hill (1959)', 'Run Silent Run Deep (1958)', 'Cross of Iron (1977)', 'Duel at Diablo (1966)', ""Murphy's War (1971)""]"
Western,"['Tin Star, The (1957)', ""'Neath the Arizona Skies (1934)"", 'True Grit (2010)', 'Stagecoach (1966)', 'The Hateful Eight (2015)']"
