title,genres
Toy Story (1995),Adventure
Jumanji (1995),Adventure
Grumpier Old Men (1995),Comedy
Waiting to Exhale (1995),Comedy
Father of the Bride Part II (1995),Comedy
Heat (1995),Action
Sabrina (1995),Comedy
Tom and Huck (1995),Adventure
Sudden Death (1995),Action
GoldenEye (1995),Action
"American President, The (1995)",Comedy
Dracula: Dead and Loving It (1995),Comedy
Balto (1995),Adventure
Nixon (1995),Drama
Cutthroat Island (1995),Action
Casino (1995),Crime
Sense and Sensibility (1995),Drama
Four Rooms (1995),Comedy
Ace Ventura: When Nature Calls (1995),Comedy
Money Train (1995),Action
Get Shorty (1995),Comedy
Copycat (1995),Crime
Assassins (1995),Action
Powder (1995),Drama
Leaving Las Vegas (1995),Drama
Othello (1995),Drama
Now and Then (1995),Children
Persuasion (1995),Drama
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime
Dangerous Minds (1995),Drama
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery
Babe (1995),Children
Carrington (1995),Drama
Dead Man Walking (1995),Crime
Across the Sea of Time (1995),Documentary
It Takes Two (1995),Children
Clueless (1995),Comedy
"Cry, the Beloved Country (1995)",Drama
Richard III (1995),Drama
Dead Presidents (1995),Action
Restoration (1995),Drama
Mortal Kombat (1995),Action
To Die For (1995),Comedy
How to Make an American Quilt (1995),Drama
Seven (a.k.a. Se7en) (1995),Mystery
Pocahontas (1995),Animation
When Night Is Falling (1995),Drama
"Usual Suspects, The (1995)",Crime
Mighty Aphrodite (1995),Comedy
Lamerica (1994),Adventure
"Big Green, The (1995)",Children
Georgia (1995),Drama
Home for the Holidays (1995),Drama
"Postman, The (Postino, Il) (1994)",Comedy
"Confessional, The (Confessionnal, Le) (1995)",Drama
"Indian in the Cupboard, The (1995)",Adventure
Eye for an Eye (1996),Drama
Mr. Holland's Opus (1995),Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
Two if by Sea (1996),Comedy
Bio-Dome (1996),Comedy
Lawnmower Man 2: Beyond Cyberspace (1996),Action
French Twist (Gazon maudit) (1995),Comedy
Friday (1995),Comedy
From Dusk Till Dawn (1996),Action
Fair Game (1995),Action
Kicking and Screaming (1995),Comedy
"Misérables, Les (1995)",Drama
Bed of Roses (1996),Drama
Screamers (1995),Action
Nico Icon (1995),Documentary
"Crossing Guard, The (1995)",Action
"Juror, The (1996)",Drama
"White Balloon, The (Badkonake sefid) (1995)",Children
Things to Do in Denver When You're Dead (1995),Crime
Antonia's Line (Antonia) (1995),Comedy
Once Upon a Time... When We Were Colored (1995),Drama
Last Summer in the Hamptons (1995),Comedy
Angels and Insects (1995),Drama
White Squall (1996),Action
Dunston Checks In (1996),Children
Black Sheep (1996),Comedy
Nick of Time (1995),Action
Mary Reilly (1996),Drama
Vampire in Brooklyn (1995),Comedy
Beautiful Girls (1996),Comedy
Broken Arrow (1996),Action
In the Bleak Midwinter (1995),Comedy
"Hate (Haine, La) (1995)",Crime
Shopping (1994),Action
Heidi Fleiss: Hollywood Madam (1995),Documentary
City Hall (1996),Drama
Bottle Rocket (1996),Adventure
Mr. Wrong (1996),Comedy
Unforgettable (1996),Mystery
Happy Gilmore (1996),Comedy
"Bridges of Madison County, The (1995)",Drama
Muppet Treasure Island (1996),Adventure
Catwalk (1996),Documentary
Braveheart (1995),Action
Taxi Driver (1976),Crime
Rumble in the Bronx (Hont faan kui) (1995),Action
Before and After (1996),Drama
Margaret's Museum (1995),Drama
Anne Frank Remembered (1995),Documentary
"Young Poisoner's Handbook, The (1995)",Crime
If Lucy Fell (1996),Comedy
"Steal Big, Steal Little (1995)",Comedy
"Boys of St. Vincent, The (1992)",Drama
Boomerang (1992),Comedy
Chungking Express (Chung Hing sam lam) (1994),Drama
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
Flirting With Disaster (1996),Comedy
"NeverEnding Story III, The (1994)",Adventure
Pie in the Sky (1996),Comedy
Angela (1995),Drama
Frankie Starlight (1995),Drama
Jade (1995),Thriller
Down Periscope (1996),Comedy
Man of the Year (1995),Documentary
Up Close and Personal (1996),Drama
"Birdcage, The (1996)",Comedy
"Brothers McMullen, The (1995)",Comedy
Bad Boys (1995),Action
"Amazing Panda Adventure, The (1995)",Adventure
"Basketball Diaries, The (1995)",Drama
"Awfully Big Adventure, An (1995)",Drama
Amateur (1994),Crime
Apollo 13 (1995),Adventure
Rob Roy (1995),Action
"Addiction, The (1995)",Drama
Batman Forever (1995),Action
Beauty of the Day (Belle de jour) (1967),Drama
Beyond Rangoon (1995),Adventure
Blue in the Face (1995),Comedy
Canadian Bacon (1995),Comedy
Casper (1995),Adventure
Clockers (1995),Crime
Congo (1995),Action
Crimson Tide (1995),Drama
Crumb (1994),Documentary
Desperado (1995),Action
Devil in a Blue Dress (1995),Crime
Die Hard: With a Vengeance (1995),Action
"Doom Generation, The (1995)",Comedy
Feast of July (1995),Drama
First Knight (1995),Action
Free Willy 2: The Adventure Home (1995),Adventure
Hackers (1995),Action
Jeffrey (1995),Comedy
Johnny Mnemonic (1995),Action
Judge Dredd (1995),Action
Jury Duty (1995),Comedy
Kids (1995),Drama
Living in Oblivion (1995),Comedy
Lord of Illusions (1995),Horror
Love & Human Remains (1993),Comedy
Mad Love (1995),Drama
Mallrats (1995),Comedy
Mighty Morphin Power Rangers: The Movie (1995),Action
Mute Witness (1994),Comedy
Nadja (1994),Drama
"Net, The (1995)",Action
Nine Months (1995),Comedy
Party Girl (1995),Comedy
"Prophecy, The (1995)",Fantasy
Reckless (1995),Comedy
Safe (1995),Thriller
"Scarlet Letter, The (1995)",Drama
Showgirls (1995),Drama
Smoke (1995),Comedy
Something to Talk About (1995),Comedy
Species (1995),Horror
Strange Days (1995),Action
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama
"Tie That Binds, The (1995)",Thriller
Three Wishes (1995),Drama
Total Eclipse (1995),Drama
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
Under Siege 2: Dark Territory (1995),Action
Unstrung Heroes (1995),Comedy
Unzipped (1995),Documentary
"Walk in the Clouds, A (1995)",Drama
Waterworld (1995),Action
White Man's Burden (1995),Drama
"Browning Version, The (1994)",Drama
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
Before the Rain (Pred dozhdot) (1994),Drama
Before Sunrise (1995),Drama
Billy Madison (1995),Comedy
"Babysitter, The (1995)",Drama
Boys on the Side (1995),Comedy
"Cure, The (1995)",Drama
Castle Freak (1995),Horror
Circle of Friends (1995),Drama
Clerks (1994),Comedy
Don Juan DeMarco (1995),Comedy
Disclosure (1994),Drama
Drop Zone (1994),Action
Destiny Turns on the Radio (1995),Comedy
Death and the Maiden (1994),Drama
Dolores Claiborne (1995),Drama
Dumb & Dumber (Dumb and Dumber) (1994),Adventure
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy
Exotica (1994),Drama
Exit to Eden (1994),Comedy
Ed Wood (1994),Comedy
French Kiss (1995),Action
Forget Paris (1995),Comedy
Far From Home: The Adventures of Yellow Dog (1995),Adventure
"Goofy Movie, A (1995)",Animation
Hideaway (1995),Thriller
Fluke (1995),Children
Farinelli: il castrato (1994),Drama
Gordy (1995),Children
Gumby: The Movie (1995),Animation
The Glass Shield (1994),Crime
Hoop Dreams (1994),Documentary
Heavenly Creatures (1994),Crime
Houseguest (1994),Comedy
Immortal Beloved (1994),Drama
Heavyweights (Heavy Weights) (1995),Children
"Hunted, The (1995)",Action
I.Q. (1994),Comedy
Interview with the Vampire: The Vampire Chronicles (1994),Drama
Jefferson in Paris (1995),Drama
"Jerky Boys, The (1995)",Comedy
Junior (1994),Comedy
Just Cause (1995),Mystery
"Kid in King Arthur's Court, A (1995)",Adventure
Kiss of Death (1995),Crime
Star Wars: Episode IV - A New Hope (1977),Action
Little Women (1994),Drama
"Little Princess, A (1995)",Children
Ladybird Ladybird (1994),Drama
"Enfer, L' (1994)",Drama
Like Water for Chocolate (Como agua para chocolate) (1992),Drama
Legends of the Fall (1994),Drama
Major Payne (1995),Comedy
Little Odessa (1994),Crime
My Crazy Life (Mi vida loca) (1993),Drama
Love Affair (1994),Drama
Losing Isaiah (1995),Drama
"Madness of King George, The (1994)",Comedy
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama
Man of the House (1995),Comedy
Mixed Nuts (1994),Comedy
Milk Money (1994),Comedy
Miracle on 34th Street (1994),Drama
Miami Rhapsody (1995),Comedy
My Family (1995),Drama
Murder in the First (1995),Drama
Nobody's Fool (1994),Comedy
Nell (1994),Drama
New Jersey Drive (1995),Crime
Beyond Bedlam (1993),Drama
Nina Takes a Lover (1994),Comedy
Natural Born Killers (1994),Action
Only You (1994),Comedy
